user_id,market_id,market_title,outcome,side,avg_odds,contracts,dollar_amount,win_status,first_trade,last_trade,num_trades
0x73de518a8e9919bcf8295c7a9d1ccc36b3a5e21c,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.57,20.0,11.4,LOSS,2025-01-01T13:03:25+00:00,2025-01-01T13:03:25+00:00,1
0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.427,68310.66,29169.7036,WIN,2025-01-01T15:30:54+00:00,2025-08-26T19:35:51+00:00,143
0x860df814be22136b98c08084590c0bd946623c72,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.36,13.8889,5.0,WIN,2025-01-01T19:03:01+00:00,2025-01-01T19:03:01+00:00,1
0x89266bcb35fb9162313241ff9b996f7430485aac,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.38,2.6316,1.0,WIN,2025-01-01T20:49:29+00:00,2025-01-01T20:49:29+00:00,1
0xf0611defcf31487fb5170cb6cdd65b37e4242572,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.38,13.1579,5.0,WIN,2025-01-02T18:11:08+00:00,2025-01-02T18:11:08+00:00,1
0x5de5f07bad2158945c16cd8e5906cfa624301d2d,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.3856,10.3741,4.0,WIN,2025-01-02T23:45:28+00:00,2025-01-02T23:45:28+00:00,2
0x73de518a8e9919bcf8295c7a9d1ccc36b3a5e21c,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.39,6.05,2.3595,WIN,2025-01-04T15:32:11+00:00,2025-01-04T15:32:11+00:00,1
0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.6188,92641.56,57324.6281,LOSS,2025-01-04T15:32:11+00:00,2025-08-26T17:04:05+00:00,154
0xd2fc5b02408edd6154f28b19bd439459e18eef9b,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.42,8.16,3.4272,WIN,2025-01-04T22:13:14+00:00,2025-01-04T22:13:14+00:00,1
0xdb0329be55328ef107774cdd09854576e2e34bdf,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.54,3.7037,2.0,LOSS,2025-01-06T16:45:13+00:00,2025-01-06T16:45:13+00:00,1
0x4ee2e481b0ea1bfc746d894edfec87494d690b0f,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.54,3.7037,2.0,LOSS,2025-01-06T17:39:56+00:00,2025-01-06T17:39:56+00:00,1
0x7c6fddb0810344f86c1baaf1258d1d35165b8c74,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.56,3.1964,1.79,LOSS,2025-01-07T02:36:35+00:00,2025-01-07T02:36:35+00:00,1
0xf0b0ef1d6320c6be896b4c9c54dd74407e7f8cab,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.5,37.03,18.515,LOSS,2025-01-07T11:28:24+00:00,2025-01-07T11:28:24+00:00,1
0x1b330554e49c33aacfe2221cb0243dfae248dc9c,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,Yes,BUY,0.54,20.0,10.8,WIN,2025-01-07T15:41:29+00:00,2025-01-07T15:41:29+00:00,1
0xa2ef4082377b3a2ba4c4789d904cf851cdba4535,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.54,3.7037,2.0,LOSS,2025-01-08T00:09:57+00:00,2025-01-08T00:09:57+00:00,1
0x1102330de18bd0ced2ae7c17b29df2a1e627af36,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.5054,40.0,20.2168,LOSS,2025-01-08T15:55:47+00:00,2025-01-08T15:55:47+00:00,2
0x3980fe7c65a5e6486c20f6c6ac432eb29f2c5cee,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.51,9.8039,5.0,LOSS,2025-01-10T09:38:30+00:00,2025-01-10T09:38:30+00:00,1
0xbf724ffeb1b9c2a6932bf2ee968bc1f5526b7c42,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.51,1.9608,1.0,LOSS,2025-01-10T22:08:42+00:00,2025-01-10T22:08:42+00:00,1
0x3d2e6a3c755a79da895ebec3211cf0fc90f3a719,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.51,1.9608,1.0,LOSS,2025-01-10T22:35:04+00:00,2025-01-10T22:35:04+00:00,1
0xcb0005c54b4a737294b3a2a7e3b1ce220f29a808,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.51,50.0,25.5,LOSS,2025-01-13T00:15:21+00:00,2025-01-13T00:15:21+00:00,2
0x5db0b369822f62f314b4087f5d8b9a6b137c1b32,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.56,100.0,56.0,LOSS,2025-01-13T00:23:01+00:00,2025-01-13T00:23:01+00:00,2
0xc2a64300972778b2f8dcf7cd8f3717dc43affb1b,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.56,50.0,28.0,LOSS,2025-01-13T02:39:27+00:00,2025-01-13T02:39:27+00:00,1
0xd56522a7ce02e3729371ab6333c4942c72262843,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.64,10.9375,7.0,LOSS,2025-01-13T19:17:20+00:00,2025-01-13T19:17:20+00:00,1
0xbfe1fd48a693011b59589734fa6778bc1790391a,0x89ac32e18929185f5bd0dc00e70337571f546e64ae5cd16dceb6026ac2679c1e,Taylor Swift and Travis Kelce engaged in 2025?,No,BUY,0.6169,22.0303,13.59,LOSS,2025-01-16T13:31:08+00:00,2025-06-08T09:37:43+00:00,2
