user_id,market_position,lifetime_portfolio,prior_bet_count,portfolio_concentration,is_first_x,Is_percent,is_suspicious,target_trade_time,market_title
0x40413bb8a4ea027c54bba89c0a13b8e68533ca54,6752.6106,65432.87711599997,220,10.32,False,False,False,2026-01-03T08:27:17+00:00,"Maduro out by January 31, 2026?"
0x9dfe3b0c6314ec5f36205df22a41f6a0a82874c8,8307.3362,191996.7538239999,700,4.33,False,False,False,2026-01-03T07:28:29+00:00,"Maduro out by January 31, 2026?"
0x8b881cf08d3a53d3711d7ea85783b94738e55f5e,4575.3036,251916.19767699996,479,1.82,False,False,False,2026-01-03T07:36:13+00:00,"Maduro out by January 31, 2026?"
0x929bf7da6a8158730612ec921c6b6bcd6b857834,9719.9307,128970.68895899998,164,7.54,False,False,False,2026-01-03T09:23:55+00:00,"Maduro out by January 31, 2026?"
0xc37f6aeb073b4b45c2c9ff08a6720391c6ec8033,10001.7692,14973.159200000002,2,66.8,True,False,True,2026-01-03T09:23:55+00:00,"Maduro out by January 31, 2026?"
0x949a5b5855195aad73582a791f9d67e3fa67721c,12588.7326,89680.99103700042,2092,14.04,False,False,False,2026-01-03T07:26:41+00:00,"Maduro out by January 31, 2026?"
0x3ab5ad27c676c4be1218397912eab5396e6de56f,5253.1583,1428673.945511999,969,0.37,False,False,False,2026-01-03T07:21:39+00:00,"Maduro out by January 31, 2026?"
0xf5592765133941c40c77e52bc56bbe7ec167f462,8935.22,684162.6023529997,515,1.31,False,False,False,2026-01-03T09:23:41+00:00,"Maduro out by January 31, 2026?"
0x847667d84fc4d81db36689c4f4c5845c8d125418,10339.002,810087.6231370001,1038,1.28,False,False,False,2026-01-03T09:15:45+00:00,"Maduro out by January 31, 2026?"
0x1d3cbeae4547f6053922101f69d4db7ce5824337,5445.0,18182.799056,42,29.95,False,False,False,2026-01-03T09:28:53+00:00,"Maduro out by January 31, 2026?"
0x3b4484b6c8cbfdaa383ba337ab3f0d71055e264e,4403.44,1124223.398777999,1490,0.39,False,False,False,2026-01-03T09:21:57+00:00,"Maduro out by January 31, 2026?"
0x58f505950ae2d9fc76c906d6372b01f60fe3be7b,4599.9828,122828.02104299961,1086,3.75,False,False,False,2026-01-03T09:23:47+00:00,"Maduro out by January 31, 2026?"
0x9ed9fb24166d7aae9ec0f8eef267c46cb34ef365,29413.0068,123129.78058600014,229,23.89,False,False,False,2026-01-03T09:29:21+00:00,"Maduro out by January 31, 2026?"
0xb766be2ee36ae2d42b236e3fb16dbfb317351d83,7259.0,65105.14959399999,362,11.15,False,False,False,2026-01-03T09:26:57+00:00,"Maduro out by January 31, 2026?"
0xdf705353876ceb2549f0c03ffcb4cba33d785e92,35104.9878,585369.9072739996,538,6.0,False,False,False,2026-01-03T07:12:25+00:00,"Maduro out by January 31, 2026?"
0x3d94555a69bea9e2d80f484cacfdcf4945dae7f7,7041.3536,17057.036009999996,16,41.28,False,False,False,2026-01-03T09:39:03+00:00,"Maduro out by January 31, 2026?"
0xf8a72ca42a0a5824cde2beee8df26faa8e1d6fa3,15361.1381,629209.0351500006,508,2.44,False,False,False,2026-01-03T09:38:47+00:00,"Maduro out by January 31, 2026?"
0x59cd67a7a9bbede54516474bed6f3bf6069e92d2,197984.9588,4486506.783772003,737,4.41,False,False,False,2026-01-03T09:39:23+00:00,"Maduro out by January 31, 2026?"
0xde036107d06bca67e62592b3fb1f1eba153de629,7994.7938,185139.65381300007,1256,4.32,False,False,False,2026-01-03T09:35:55+00:00,"Maduro out by January 31, 2026?"
0xd2b8e73e3bd41432ef7ad3de1bde60b50efd9d3b,25634.3087,1752244.1812889944,1356,1.46,False,False,False,2026-01-03T09:40:45+00:00,"Maduro out by January 31, 2026?"
0x40413bb8a4ea027c54bba89c0a13b8e68533ca54,7231.3115,89883.94394300002,236,8.05,False,False,False,2026-01-03T09:47:23+00:00,"Maduro out by January 31, 2026?"
0x0a793254e040027c5d1ca0c2f87cda8e22228e05,4509.5286,743990.8778719999,1513,0.61,False,False,False,2026-01-03T09:23:03+00:00,"Maduro out by January 31, 2026?"
0x0a793254e040027c5d1ca0c2f87cda8e22228e05,4848.009,744535.7578719999,1514,0.65,False,False,False,2026-01-03T09:26:35+00:00,"Maduro out by January 31, 2026?"
0x11e829d2a19e7ade935861fb043715766a015b74,28447.5399,1185293.6380689954,2429,2.4,False,False,False,2026-01-03T09:23:17+00:00,"Maduro out by January 31, 2026?"
0xfd2b117412a698f322b0cd18d6827dad262b8e50,13489.4521,1617495.9940100021,1554,0.83,False,False,False,2026-01-03T09:24:29+00:00,"Maduro out by January 31, 2026?"
0xb766be2ee36ae2d42b236e3fb16dbfb317351d83,7263.5,80362.2843140001,369,9.04,False,False,False,2026-01-03T09:49:41+00:00,"Maduro out by January 31, 2026?"
